,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18.47,15.96,16.25,18.64,16.78,20.73,26.68,31.75,30.87,34.53,45.2,53.82,67.54
Expenses,15.87,14.01,14.05,16.44,14.76,18.72,23.97,31.27,29.5,31.9,40.78,49.13,61.33
Operating Profit,2.6,1.95,2.2,2.2,2.02,2.01,2.71,0.48,1.37,2.63,4.42,4.69,6.21
OPM %,14.08,12.22,13.54,11.8,12.04,9.7,10.16,1.51,4.44,7.62,9.78,8.71,9.19
Other Income,0.44,0.32,0.66,0.33,0.34,0.6,0.66,0.32,0.15,3.14,2.55,0.01,0.69
Interest,0.94,0.92,0.57,0.47,0.4,0.56,0.8,1.11,0.9,0.77,1.13,1.66,1.75
Depreciation,2.0,2.06,1.98,1.07,1.09,1.18,1.4,1.81,1.9,1.85,2.54,3.77,4.02
Profit before tax,0.1,-0.71,0.31,0.99,0.87,0.87,1.17,-2.12,-1.28,3.15,3.3,-0.73,1.13
Tax %,30.0,30.99,-96.77,69.7,33.33,11.49,30.77,15.57,22.66,22.22,17.27,41.1,
Net Profit,0.06,-0.5,0.61,0.3,0.57,0.76,0.8,-1.8,-1.0,2.46,2.73,-0.43,1.13
EPS in Rs,0.12,-1.0,1.22,0.6,1.14,1.52,1.6,-3.61,-2.0,4.93,5.47,-0.86,2.26
