,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,3,13
Reserves,15,18,27,40,80
Borrowings,19,22,16,20,18
Other Liabilities,11,14,19,31,30
Total Liabilities,48,56,65,93,141
Fixed Assets,22,22,26,34,33
CWIP,0,0,0,0,0
Investments,0,0,0,0,0
Other Assets,26,34,39,59,108
Total Assets,48,56,65,93,141
