,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales,0.0,0.0,0.27,0.00,0.00,32.71,40.62,104.02,77.4,11.61,3.58,0.78
Expenses,0.01,0.03,0.03,0.05,0.25,32.86,41.22,102.45,76.79,36.49,5.23,1.35
Operating Profit,-0.01,-0.03,0.24,-0.05,-0.25,-0.15,-0.6,1.57,0.61,-24.88,-1.65,-0.57
OPM %,,,88.89,,,-0.46,-1.48,1.51,0.79,-214.3,-46.09,-73.08
Other Income,0.01,0.03,0.0,-0.13,0.31,0.26,1.03,0.17,0.07,0.26,0.2,0.05
Interest,0.0,0.0,0.0,0.00,0.00,0.03,0.05,0.02,0.09,0.07,0.02,0.52
Depreciation,0.0,0.0,0.0,0.00,0.01,0.06,0.28,0.35,0.44,0.32,0.09,0.16
Profit before tax,0.0,0.0,0.24,-0.18,0.05,0.02,0.1,1.37,0.15,-25.01,-1.56,-1.20
Tax %,,,29.17,-5.56,40.00,50.0,40.0,24.09,26.67,0.0,-6.41,
Net Profit,0.0,0.0,0.17,-0.19,0.03,0.01,0.06,1.04,0.11,-25.01,-1.66,-1.30
EPS in Rs,0.0,0.0,0.23,-0.02,0.00,0.0,0.01,0.1,0.01,-2.28,-0.15,-0.11
