,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2021-09-01
Equity Capital,0.25,0.25,0.25,3.06,3.06,3.56,10.67,10.81,10.96,10.96,11.02,11.02
Reserves,-0.16,-0.16,0.01,-0.18,-0.15,9.36,2.32,7.46,12.89,-12.08,-13.48,-14.26
Borrowings,0.0,0.02,0.02,0.02,0.0,0.8,1.38,4.25,0.78,9.24,11.55,11.52
Other Liabilities,0.0,0.01,0.07,0.01,0.06,8.25,15.78,39.92,18.87,5.33,2.48,2.79
Total Liabilities,0.09,0.12,0.35,2.91,2.97,21.97,30.15,62.44,43.5,13.45,11.57,11.07
Fixed Assets,0.0,0.0,0.0,0.0,0.14,0.26,0.6900000000000001,0.67,0.92,0.61,0.72,0.25
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.07,0.05,2.85,2.35,1.08,1.18,0.78,0.78,0.78,0.02,0.02
Other Assets,0.09,0.05,0.3,0.06,0.48,20.63,28.28,60.99,41.8,12.06,10.83,10.8
Total Assets,0.09,0.12,0.35,2.91,2.97,21.97,30.15,62.44,43.5,13.45,11.57,11.07
