,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,318.0,326.0,274.0,298.0,291.0,311.0,370.0,310.0,329.0,302.0,402.0,423.0,416.0
Expenses,288.0,296.0,255.0,300.0,284.0,313.0,302.0,311.0,347.0,345.0,386.0,395.0,407.0
Operating Profit,30.0,30.0,19.0,-2.0,6.0,-1.0,68.0,-1.0,-18.0,-43.0,16.0,28.0,9.0
OPM %,9.0,9.0,7.0,-1.0,2.0,-0.0,18.0,-0.0,-6.0,-14.0,4.0,7.0,2.0
Other Income,10.0,16.0,8.0,16.0,3.0,15.0,14.0,8.0,4.0,16.0,-28.0,9.0,6.0
Interest,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,5.0,4.0,6.0,6.0,7.0
Depreciation,21.0,21.0,22.0,22.0,22.0,23.0,23.0,25.0,28.0,31.0,30.0,29.0,29.0
Profit before tax,18.0,23.0,3.0,-9.0,-16.0,-11.0,58.0,-21.0,-47.0,-61.0,-47.0,2.0,-22.0
Tax %,51.0,-0.0,114.0,-27.0,17.0,-24.0,-23.0,-13.0,-50.0,-4.0,6.0,132.0,-12.0
Net Profit,9.0,24.0,-0.0,-11.0,-13.0,-14.0,71.0,-23.0,-71.0,-64.0,-44.0,-1.0,-24.0
EPS in Rs,1.24,3.35,-0.06,-1.63,-1.82,-2.0,10.15,-3.32,-10.04,-9.08,-6.29,-0.1,-3.48
