,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,24.13,24.13,24.13,24.13,24.13,24.13,24.13,24.13,23.71
Public,75.87,75.87,75.87,75.87,75.87,75.87,75.87,75.88,76.29
No. of Shareholders,366.0,372.0,451.0,462.0,457.0,475.0,622.0,670.0,666.0
