,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.75,36.74,33.26,38.52,52.91,44.61,46.47
Expenses,24.12,34.06,30.76,36.12,51.75,43.32,44.02
Operating Profit,2.63,2.68,2.5,2.4,1.16,1.29,2.45
OPM %,9.83,7.29,7.52,6.23,2.19,2.89,5.27
Other Income,0.83,0.62,0.54,0.74,2.13,2.32,0.98
Interest,0.8,1.17,1.08,0.99,1.11,1.16,1.02
Depreciation,0.9,1.23,1.43,1.25,0.93,1.3,1.21
Profit before tax,1.76,0.9,0.53,0.9,1.25,1.15,1.20
Tax %,27.84,17.78,28.3,21.11,45.6,26.96,
Net Profit,1.28,0.74,0.38,0.72,0.68,0.83,0.80
EPS in Rs,1.45,0.61,0.31,0.6,0.56,0.68,0.66
