,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.01,5.51,5.51,11.02,11.02,12.12,12.12
Reserves,1.95,7.19,7.57,1.94,2.61,2.35,2.78
Borrowings,9.17,13.04,10.9,10.41,13.08,10.44,8.95
Other Liabilities,2.56,3.52,3.1,1.33,4.65,3.01,6.24
Total Liabilities,17.69,29.26,27.08,24.7,31.36,27.92,30.09
Fixed Assets,8.94,12.28,11.63,11.36,15.26,15.48,15.69
CWIP,0.14,0.0,0.0,0.34,0.34,0.0,0.0
Investments,0.0,0.03,0.05,0.08,0.09,0.09,0.1
Other Assets,8.61,16.95,15.4,12.92,15.67,12.35,14.3
Total Assets,17.69,29.26,27.08,24.7,31.36,27.92,30.09
