,2021-03-01,2022-03-01,2023-03-01
Sales,10.17,21.04,26.1
Expenses,9.12,20.2,24.12
Operating Profit,1.05,0.84,1.98
OPM %,10.32,3.99,7.59
Other Income,0.03,-0.0,0.01
Interest,0.03,0.02,0.06
Depreciation,0.14,0.11,0.26
Profit before tax,0.91,0.71,1.67
Tax %,29.67,25.35,28.74
Net Profit,0.65,0.52,1.2
EPS in Rs,650.0,520.0,5.4
