,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0.01,0.01,2.22
Reserves,3.12,3.65,3.07
Borrowings,0.38,0.12,1.73
Other Liabilities,1.85,3.55,2.62
Total Liabilities,5.36,7.33,9.64
Fixed Assets,0.39,0.33,1.95
CWIP,0.0,0.0,0.0
Investments,0.0,0.0,0.0
Other Assets,4.97,7.0,7.69
Total Assets,5.36,7.33,9.64
