,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2742.0,2373.0,1708.0,3083.0,3209.0,3779
Expenses,2720.0,2326.0,1608.0,2959.0,3052.0,3614
Operating Profit,23.0,47.0,99.0,124.0,158.0,164
OPM %,1.0,2.0,6.0,4.0,5.0,4
Other Income,42.0,44.0,13.0,56.0,47.0,15
Interest,6.0,19.0,6.0,10.0,13.0,12
Depreciation,10.0,10.0,8.0,11.0,18.0,32
Profit before tax,49.0,62.0,98.0,159.0,174.0,135
Tax %,36.0,26.0,26.0,27.0,29.0,
Net Profit,31.0,46.0,72.0,116.0,123.0,90
EPS in Rs,8.36,12.31,19.36,2.42,2.53,1.91
