,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,826.22,775.8,768.47,838.74,971.24,1200.19
Expenses,777.05,747.12,728.41,801.16,907.6,1176.98
Operating Profit,49.17,28.68,40.06,37.58,63.64,23.21
OPM %,5.95,3.7,5.21,4.48,6.55,1.93
Other Income,23.15,23.03,1.17,-0.47,9.42,4.58
Interest,1.89,4.08,1.21,3.99,4.35,2.85
Depreciation,2.3,1.82,2.76,10.75,9.68,8.83
Profit before tax,68.13,45.81,37.26,22.37,59.03,16.11
Tax %,25.98,27.26,20.85,54.22,24.94,65.05
Net Profit,50.42,33.32,29.49,10.23,44.31,5.63
EPS in Rs,1.06,0.73,0.62,0.22,0.88,0.19
