,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,48,48,50
Reserves,138,183,256,327,427,620
Borrowings,132,169,181,330,343,343
Other Liabilities,276,117,131,151,181,263
Total Liabilities,549,473,572,856,999,1275
Fixed Assets,84,95,93,141,260,248
CWIP,0,2,14,92,58,76
Investments,0,0,0,0,0,0
Other Assets,465,376,466,624,680,951
Total Assets,549,473,572,856,999,1275
