,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,23,24,75,-32,136
Cash from Investing Activity,-8,-30,-70,-144,-83
Cash from Financing Activity,-12,37,8,142,-3
Net Cash Flow,3,32,13,-33,50
