,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,7,14,14,14,14,14,14,22,22
Reserves,24,28,33,49,59,73,80,119,139,146
Borrowings,0,0,5,5,14,13,14,21,13,13
Other Liabilities,1,16,26,58,53,71,57,107,128,142
Total Liabilities,33,51,78,126,140,172,165,261,302,324
Fixed Assets,1,28,28,36,55,50,68,87,56,59
CWIP,0,0,0,18,16,18,1,0,0,0
Investments,1,0,2,1,1,0,1,12,11,9
Other Assets,30,23,49,70,68,104,97,161,236,255
Total Assets,33,51,78,126,140,172,165,261,302,324
