,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,91.0,44,132,77,71
Inventory Days,170.0,223,115,181,240
Days Payable,92.0,105,140,129,161
Cash Conversion Cycle,170.0,161,106,129,150
Working Capital Days,52.0,43,54,76,65
ROCE %,,4,11,20,16
