,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,170.0,277.0,217.0,292.0
Expenses,146.0,245.0,197.0,268.0
Operating Profit,24.0,32.0,20.0,24.0
OPM %,14.0,12.0,9.0,8.0
Other Income,-1.0,-1.0,1.0,9.0
Interest,8.0,9.0,9.0,8.0
Depreciation,5.0,5.0,5.0,5.0
Profit before tax,10.0,17.0,7.0,20.0
Tax %,30.0,27.0,23.0,26.0
Net Profit,7.0,13.0,5.0,15.0
EPS in Rs,24.17,2.38,0.94,1.85
