,2021-06-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,58.0,50.85,40.96,24.29,17.38,16.39,14.15,34.36,61.79
Expenses,52.33,43.02,34.08,21.16,15.6,12.25,23.85,31.48,59.48
Operating Profit,5.67,7.83,6.88,3.13,1.78,4.14,-9.7,2.88,2.31
OPM %,9.78,15.4,16.8,12.89,10.24,25.26,-68.55,8.38,3.74
Other Income,8.43,1.75,2.14,1.04,1.58,0.55,0.73,0.49,1.3
Interest,0.27,0.25,0.32,0.19,0.14,0.04,0.13,0.5,1.37
Depreciation,0.15,0.12,0.12,0.12,0.15,0.02,0.15,0.16,0.17
Profit before tax,13.68,9.21,8.58,3.86,3.07,4.63,-9.25,2.71,2.07
Tax %,12.43,-3.47,-18.3,-30.31,-10.1,7.99,-8.32,-18.08,-27.54
Net Profit,11.99,9.53,10.14,5.04,3.39,4.26,-10.02,3.2,2.64
EPS in Rs,0.87,0.2,0.24,0.01,0.07,0.06,-0.22,0.04,0.01
