,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,403.0,503.0,586.0,739.0,847.0,507.0,861.0,1234.0,1234
Expenses,354.0,440.0,463.0,610.0,683.0,461.0,727.0,1003.0,1041
Operating Profit,49.0,64.0,124.0,129.0,164.0,46.0,134.0,231.0,193
OPM %,12.0,13.0,21.0,17.0,19.0,9.0,16.0,19.0,16
Other Income,0.0,0.0,7.0,-7.0,20.0,48.0,27.0,12.0,12
Interest,10.0,14.0,54.0,56.0,76.0,85.0,65.0,72.0,75
Depreciation,25.0,33.0,70.0,90.0,134.0,121.0,127.0,145.0,157
Profit before tax,14.0,16.0,7.0,-24.0,-25.0,-112.0,-32.0,26.0,-26
Tax %,57.0,47.0,188.0,-60.0,-31.0,18.0,21.0,26.0,
Net Profit,6.0,9.0,-6.0,-38.0,-33.0,-92.0,-25.0,19.0,-20
EPS in Rs,4.55,3.34,-2.1,-13.72,-11.57,-26.65,-6.58,4.37,-5.62
