,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1993,4370.0,4608.0,5599.0,6670.0,7166.0,7596
Expenses,1776,3981.0,4204.0,4895.0,5781.0,6361.0,6426
Operating Profit,217,389.0,405.0,704.0,889.0,806.0,1170
OPM %,11,9.0,9.0,13.0,13.0,11.0,15
Other Income,12,21.0,36.0,-53.0,122.0,172.0,117
Interest,28,61.0,102.0,107.0,211.0,552.0,588
Depreciation,44,95.0,225.0,249.0,291.0,305.0,301
Profit before tax,157,254.0,114.0,294.0,508.0,120.0,398
Tax %,-4,8.0,33.0,80.0,33.0,149.0,
Net Profit,164,235.0,76.0,58.0,339.0,-59.0,208
EPS in Rs,,24.2,-25.63,-36.09,49.31,-51.73,-11.48
