,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.89,2.93,13.97,1.63,3.11,1.07,0.84,0.99,0.42,2.11,0.52,0.96,1.41
Expenses,0.18,1.49,10.92,4.17,4.81,2.85,4.24,3.48,4.17,6.38,7.12,1.46,4.82
Operating Profit,0.71,1.44,3.05,-2.54,-1.7,-1.78,-3.4,-2.49,-3.75,-4.27,-6.6,-0.5,-3.41
OPM %,79.78,49.15,21.83,-155.83,-54.66,-166.36,-404.76,-251.52,-892.86,-202.37,-1269.23,-52.08,-241.84
Other Income,0.32,0.18,0.55,0.15,0.2,1.02,-4.09,0.11,0.23,1.95,-1.51,0.47,0.26
Interest,0.4,0.62,0.07,0.55,1.08,0.73,0.93,0.61,0.66,0.81,-1.26,0.21,0.4
Depreciation,0.39,0.4,0.39,0.39,0.32,0.45,0.28,0.32,0.36,0.35,1.36,0.62,0.56
Profit before tax,0.24,0.6,3.14,-3.33,-2.9,-1.94,-8.7,-3.31,-4.54,-3.48,-8.21,-0.86,-4.11
Tax %,12.5,-38.33,3.18,-1.5,-3.1,-5.67,-1.15,-0.91,-1.98,-5.17,-2.07,-9.3,-10.46
Net Profit,0.22,0.83,3.04,-3.39,-2.98,-2.05,-8.79,-3.35,-4.62,-3.66,-8.37,-0.94,-4.53
EPS in Rs,0.18,0.66,2.43,-2.71,-2.39,-1.64,-7.04,-2.43,-3.33,-2.63,-5.33,-0.57,-2.85
