,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,36,64,116,-1
Cash from Investing Activity,-70,-60,-68,-301
Cash from Financing Activity,71,-56,-49,470
Net Cash Flow,36,-52,-1,169
