,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,930.0,1265.0,1231.0,1408.0,1228.0,1482.0,1328.0,1689.0,1313.0
Expenses,860.0,1188.0,1142.0,1311.0,1152.0,1409.0,1237.0,1559.0,1217.0
Operating Profit,70.0,77.0,89.0,97.0,75.0,73.0,91.0,130.0,97.0
OPM %,8.0,6.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0
Other Income,2.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0
Interest,20.0,22.0,23.0,24.0,23.0,25.0,27.0,27.0,23.0
Depreciation,17.0,18.0,19.0,20.0,21.0,22.0,23.0,25.0,25.0
Profit before tax,34.0,37.0,48.0,55.0,32.0,30.0,46.0,81.0,50.0
Tax %,25.0,26.0,26.0,26.0,26.0,26.0,22.0,25.0,25.0
Net Profit,25.0,28.0,35.0,41.0,24.0,22.0,36.0,60.0,37.0
EPS in Rs,0.84,0.92,1.18,1.36,0.8,0.57,0.94,1.57,0.97
