,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3172.0,3202.0,4349.0,5446.0,5812
Expenses,2945.0,2998.0,4057.0,5110.0,5422
Operating Profit,228.0,204.0,292.0,336.0,390
OPM %,7.0,6.0,7.0,6.0,7
Other Income,-1.0,5.0,4.0,11.0,13
Interest,63.0,72.0,85.0,99.0,102
Depreciation,51.0,58.0,71.0,85.0,95
Profit before tax,112.0,80.0,140.0,163.0,207
Tax %,27.0,26.0,26.0,25.0,
Net Profit,82.0,59.0,104.0,123.0,156
EPS in Rs,2.72,1.95,3.46,3.19,4.05
