,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,108,108,108,108,113,396,396,396,396,482,482,964.0
Reserves,636,1018,3186,3865,3920,4756,3445,4156,4203,11624,12181,12024.0
Preference Capital,0,0,0,0,0,0,0,0,0,0,10,
Borrowings,5596,4259,11852,13835,16183,22616,25641,18423,18193,11537,9051,8740.0
Other Liabilities,3138,3883,12752,13173,13715,12483,20382,17717,16516,14763,17408,19293.0
Total Liabilities,9478,9268,27898,30981,33931,40251,49864,40693,39308,38404,39122,41022.0
Fixed Assets,991,971,2290,1899,1753,2197,2139,2021,1946,1923,1828,1864.0
CWIP,159,112,4,176,109,6,6,6,6,0,0,0.0
Investments,376,181,595,611,1180,1384,1405,1553,1579,574,246,567.0
Other Assets,7951,8003,25008,28295,30888,36664,46314,37112,35776,35908,37048,38591.0
Total Assets,9478,9268,27898,30981,33931,40251,49864,40693,39308,38404,39122,41022.0
