,2021-09-01
Depreciation,2.0
EPS in Rs,9.14
Expenses,570.0
Interest,1.0
Net Profit,17.0
OPM %,4.0
Operating Profit,24.0
Other Income,1.0
Profit before tax,22.0
Sales,594.0
Tax %,24.0
