,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,1,1,18,25,25
Reserves,118,131,140,230,257
Borrowings,60,11,23,16,79
Other Liabilities,15,5,11,22,19
Total Liabilities,195,148,193,293,381
Fixed Assets,41,39,35,31,32
CWIP,0,0,0,0,0
Investments,3,2,2,22,20
Other Assets,152,107,155,240,329
Total Assets,195,148,193,293,381
