,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,26.0,24,21,25,18,22,19
Inventory Days,189.0,186,211,204,180,234,242
Days Payable,258.0,222,179,173,213,211,209
Cash Conversion Cycle,-43.0,-12,53,55,-14,45,52
Working Capital Days,-29.0,-29,-25,-37,-24,-21,-18
ROCE %,,9,5,4,10,7,8
