,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,39,39,37,37,37,38
Reserves,2975,3681,10600,10522,12773,16024,15591,15973
Borrowings,8038,7266,5883,6049,3839,3176,3855,5399
Other Liabilities,10249,10387,4016,4268,5237,5431,6036,5854
Total Liabilities,21262,21334,20538,20878,21886,24668,25519,27264
Fixed Assets,15516,14037,13573,12555,13626,14147,14796,15355
CWIP,128,173,520,1740,1006,1034,1859,1852
Investments,2740,3505,2424,2816,4033,5704,3524,4716
Other Assets,2878,3619,4021,3767,3221,3783,5340,5341
Total Assets,21262,21334,20538,20878,21886,24668,25519,27264
