,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,17,17,17,18,18,18,18,18,18,18
Reserves,84,112,137,167,251,270,216,183,190,207,211
Borrowings,163,133,114,109,68,109,287,244,242,310,325
Other Liabilities,91,83,84,112,153,153,178,185,201,200,230
Total Liabilities,350,346,352,405,490,550,698,630,651,735,784
Fixed Assets,123,149,144,121,126,132,277,230,201,244,248
CWIP,23,2,1,3,1,2,1,1,1,1,0
Investments,3,0,1,0,0,0,0,0,0,0,0
Other Assets,201,195,207,281,362,416,421,400,449,491,535
Total Assets,350,346,352,405,490,550,698,630,651,735,784
