,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,104.49,121.78,136.0,89.23,94.92,163.22,163.05,89.48,130.73
Expenses,103.07,121.88,135.33,88.15,94.24,162.58,163.18,88.14,129.67
Operating Profit,1.42,-0.1,0.67,1.08,0.68,0.64,-0.13,1.34,1.06
OPM %,1.36,-0.08,0.49,1.21,0.72,0.39,-0.08,1.5,0.81
Other Income,0.33,0.61,0.33,0.34,1.27,0.18,0.31,0.17,0.06
Interest,0.46,0.13,0.14,0.08,0.15,0.2,0.25,0.33,0.4
Depreciation,0.06,0.15,0.29,0.28,0.36,0.41,0.43,0.36,0.45
Profit before tax,1.23,0.23,0.57,1.06,1.44,0.21,-0.5,0.82,0.27
Tax %,23.58,47.83,8.77,24.53,20.14,19.05,14.0,25.61,25.93
Net Profit,0.93,0.13,0.52,0.8,1.16,0.17,-0.44,0.61,0.2
EPS in Rs,0.66,0.09,0.37,0.56,0.82,0.12,-0.31,0.43,0.14
