,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,243.48,57.67,39.55,38.36,55.59,48.82,39.51,66.76,57.2,37.52,43.37
Expenses,235.33,54.94,37.74,35.72,49.52,44.9,43.52,64.81,51.39,37.26,39.2
Operating Profit,8.15,2.73,1.81,2.64,6.07,3.92,-4.01,1.95,5.81,0.26,4.17
OPM %,3.35,4.73,4.58,6.88,10.92,8.03,-10.15,2.92,10.16,0.69,9.61
Other Income,0.39,0.03,0.16,-0.01,0.11,0.08,0.0,0.0,0.03,0.03,0.01
Interest,2.67,0.54,0.49,0.35,0.79,1.37,0.61,1.03,0.37,0.96,1.02
Depreciation,1.81,0.49,0.5,0.5,0.52,0.54,0.7,0.51,0.62,0.61,0.61
Profit before tax,4.06,1.73,0.98,1.78,4.87,2.09,-5.32,0.41,4.85,-1.28,2.55
Tax %,56.16,26.01,25.51,23.6,32.44,51.67,11.84,-239.02,26.8,2.34,4.71
Net Profit,1.78,1.28,0.72,1.36,3.28,1.01,-4.7,1.39,3.55,-1.25,2.42
EPS in Rs,1.93,1.39,0.78,1.48,3.56,1.1,-5.1,1.51,3.85,-1.36,2.63
