,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,46,47,55,58,60,60,65,63,64
Reserves,2771,2329,7520,5978,8351,6924,13648,12223,12347
Borrowings,15,90,242,722,405,588,204,207,192
Other Liabilities,630,1422,739,1925,1690,1907,2440,3143,4040
Total Liabilities,3462,3888,8556,8683,10507,9480,16357,15636,16642
Fixed Assets,78,141,166,286,508,390,830,1137,1243
CWIP,58,72,20,51,12,23,11,8,7
Investments,2363,972,5188,3440,4212,1299,1305,2493,4028
Other Assets,964,2703,3183,4906,5776,7767,14210,11998,11364
Total Assets,3462,3888,8556,8683,10507,9480,16357,15636,16642
