,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.24,0.75,1.5,1.5,2.05,2.05,6.16,13.57,13.57,13.57,13.57,13.57
Reserves,0.2,-0.5700000000000001,-0.08,0.95,4.99,7.36,6.89,28.61,33.08,30.64,26.22,24.15
Borrowings,0.3,3.97,6.4,5.93,11.09,7.29,11.92,4.14,2.95,7.33,1.04,7.14
Other Liabilities,0.06,0.59,4.19,0.73,4.69,7.13,20.57,13.5,80.69,63.11,62.54,22.05
Total Liabilities,0.8,4.74,12.01,9.11,22.82,23.83,45.54,59.82,130.29,114.65,103.37,66.91
Fixed Assets,0.59,2.29,2.38,2.56,3.84,5.53,12.1,12.83,15.3,13.44,11.2,10.65
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,2.6,2.61,2.7
Investments,0.0,0.0,0.04,0.0,0.0,0.8,1.18,1.15,1.15,0.71,0.17,0.02
Other Assets,0.21,2.45,9.59,6.55,18.98,17.5,32.26,45.84,112.22,97.9,89.39,53.54
Total Assets,0.8,4.74,12.01,9.11,22.82,23.83,45.54,59.82,130.29,114.65,103.37,66.91
