,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,218.35,117.14,35.98,44.19,29.72,40.45,23.64,34.56,109.02,
Inventory Days,,423.66,50.8,24.2,41.71,3.91,12.81,21.21,49.28,107.13,12797.81
Days Payable,,26.07,71.21,3.36,22.74,12.55,31.96,19.36,77.58,179.42,22074.90
Cash Conversion Cycle,,615.94,96.74,56.82,63.16,21.07,21.3,25.49,6.26,36.73,
Working Capital Days,,593.12,96.5,53.2,63.55,21.3,17.87,42.67,28.67,102.66,
ROCE %,,-18.0,15.37,23.33,15.84,22.85,34.46,18.12,14.18,-3.16,-9.72
