,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,105.26,145.75,111.62,10.64,-0.01,0.00,0.00,0.00,0.0,0.00,1.44,6.02
Expenses,101.44,144.59,110.04,10.86,0.43,0.78,0.30,2.40,-0.55,0.52,2.02,6.68
Operating Profit,3.82,1.16,1.58,-0.22,-0.44,-0.78,-0.30,-2.40,0.55,-0.52,-0.58,-0.66
OPM %,3.63,0.8,1.42,-2.07,,,,,,,-40.28,-10.96
Other Income,0.1,0.16,0.95,0.04,0.01,0.72,0.01,0.17,0.04,-0.01,0.01,0.07
Interest,0.09,0.04,0.15,0.25,0.24,0.22,0.25,0.27,0.03,0.02,0.01,0.03
Depreciation,0.65,0.83,0.75,0.7,0.72,0.72,0.56,0.56,0.56,0.56,0.44,0.45
Profit before tax,3.18,0.45,1.63,-1.13,-1.39,-1.00,-1.10,-3.06,0.0,-1.11,-1.02,-1.07
Tax %,29.56,-6.67,24.54,25.66,8.63,-55.00,78.18,0.98,,-3.60,1.96,1.87
Net Profit,2.25,0.49,1.22,-0.84,-1.27,-1.55,-0.24,-3.03,0.02,-1.16,-1.01,-1.06
EPS in Rs,0.83,0.18,0.45,-0.31,-0.47,-0.57,-0.09,-1.12,0.01,-0.43,-0.37,-0.39
