,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0.01,0.01,0.01,10.32,10.32
Reserves,-0.01,-0.01,0.03,0.45,1.63
Borrowings,0.0,0.0,0.01,0.05,0.02
Other Liabilities,0.0,0.0,2.41,2.17,2.05
Total Liabilities,0.0,0.0,2.46,12.99,14.02
Fixed Assets,0.0,0.0,0.0,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0
Other Assets,0.0,0.0,2.46,12.98,14.01
Total Assets,0.0,0.0,2.46,12.99,14.02
