,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,11,11,11,11,11
Reserves,847,8244,8276,7101,12591,19943,19399,23053
Borrowings,0,0,0,0,0,0,0,0
Other Liabilities,2,743,718,600,1443,2802,2629,3363
Total Liabilities,860,8998,9005,7712,14045,22756,22039,26427
Fixed Assets,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0
Investments,531,8642,8619,7279,13546,22119,21102,25445
Other Assets,330,356,387,433,499,637,938,982
Total Assets,860,8998,9005,7712,14045,22756,22039,26427
