,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10,10.0
Reserves,242,298,320,125,-86,22,5,19,14,15,1814,1982,2062.0
Preference Capital,0,0,47,47,47,66,66,48,53,57,63,68,
Borrowings,1967,3402,4315,5348,5796,0,0,0,0,0,0,0,69.0
Other Liabilities,1011,900,1453,1731,2012,86,86,72,74,80,83,88,20.0
Total Liabilities,3231,4610,6098,7214,7732,118,101,102,99,105,1908,2080,2160.0
Fixed Assets,138,141,3728,6729,6785,5,5,4,4,4,4,4,4.0
CWIP,2432,3995,1902,19,18,0,0,0,0,0,0,0,0.0
Investments,277,194,201,58,92,55,39,40,37,42,1846,2019,2099.0
Other Assets,385,279,268,409,836,58,58,57,58,59,58,58,58.0
Total Assets,3231,4610,6098,7214,7732,118,101,102,99,105,1908,2080,2160.0
