,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,50,45,53,53,53,53
Reserves,199,225,295,369,400,382,982,1237,1359,1406
Borrowings,249,221,104,215,175,159,149,139,406,168
Other Liabilities,152,176,240,300,389,484,654,820,595,550
Total Liabilities,610,632,649,895,1014,1069,1838,2249,2412,2176
Fixed Assets,226,215,202,293,346,338,325,379,715,887
CWIP,25,40,61,30,31,67,148,374,447,324
Investments,0,0,0,0,0,0,3,5,23,12
Other Assets,358,377,386,571,637,664,1361,1492,1228,953
Total Assets,610,632,649,895,1014,1069,1838,2249,2412,2176
