,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.01,0.0,0.08,0.05,0.07,0.00,0.0,0.00,0.04,0.00,0.0
Expenses,0.00,0.00,0.01,0.09,0.42,0.23,0.35,0.16,0.78,0.25,0.2,0.21,0.19
Operating Profit,0.00,0.00,0.00,-0.09,-0.34,-0.18,-0.28,-0.16,-0.78,-0.25,-0.16,-0.21,-0.19
OPM %,,,0.00,,-425.0,-360.0,-400.0,,6.02,,-400.0,,
Other Income,0.00,0.00,0.00,0.09,0.45,0.27,0.46,0.23,0.83,0.83,0.7,0.78,1.06
Interest,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.21,0.12,0.37,0.6000000000000001
Depreciation,0.01,0.01,0.00,0.0,0.0,0.02,0.01,0.01,0.03,0.03,0.0,0.00,0.0
Profit before tax,-0.01,-0.01,0.00,0.0,0.11,0.07,0.17,0.06,0.02,0.34,0.42,0.20,0.27
Tax %,0.00,0.00,,,27.27,28.57,0.0,33.33,200.0,23.53,28.57,20.00,
Net Profit,-0.01,-0.01,0.00,0.0,0.07,0.05,0.16,0.04,-0.02,0.25,0.3,0.17,0.17
EPS in Rs,-0.14,-0.14,0.00,0.0,0.08,0.06,0.19,0.05,-0.02,0.29,0.35,0.20,0.19
