,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,55.23,55.18,53.05,52.87
FIIs,7.75,6.98,10.47,8.61
DIIs,7.65,7.52,14.29,15.47
Public,29.38,30.31,22.19,23.04
No. of Shareholders,51169.0,27953.0,27806.0,30360.0
