,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1611.0,2827.0,2219.0,1956.0,2977.0,3382.0,3195
Expenses,1561.0,2745.0,2142.0,1842.0,2800.0,3144.0,2970
Operating Profit,51.0,82.0,77.0,114.0,176.0,238.0,225
OPM %,3.0,3.0,3.0,6.0,6.0,7.0,7
Other Income,4.0,7.0,6.0,6.0,11.0,4.0,6
Interest,17.0,53.0,45.0,38.0,35.0,51.0,49
Depreciation,13.0,53.0,63.0,62.0,70.0,87.0,93
Profit before tax,25.0,-18.0,-25.0,20.0,82.0,104.0,89
Tax %,30.0,-39.0,-17.0,44.0,20.0,18.0,
Net Profit,18.0,-24.0,-29.0,11.0,66.0,85.0,78
EPS in Rs,22.33,-31.92,-15.69,6.19,17.88,21.32,19.36
