,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,837.0,727.0,800.0,852.0,876.0,854.0,694.0,771.0
Expenses,785.0,674.0,749.0,791.0,811.0,793.0,650.0,716.0
Operating Profit,52.0,52.0,51.0,61.0,65.0,61.0,44.0,54.0
OPM %,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0
Other Income,2.0,4.0,2.0,-0.0,2.0,1.0,0.0,3.0
Interest,9.0,8.0,12.0,15.0,14.0,10.0,11.0,14.0
Depreciation,17.0,21.0,21.0,22.0,22.0,23.0,23.0,25.0
Profit before tax,28.0,26.0,20.0,24.0,31.0,29.0,10.0,19.0
Tax %,32.0,26.0,8.0,30.0,18.0,17.0,27.0,-10.0
Net Profit,19.0,19.0,18.0,17.0,26.0,24.0,7.0,20.0
EPS in Rs,5.17,5.12,4.87,4.57,6.54,6.07,1.75,5.0
