,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Cash from Operating Activity,676,508,562,791,303,683
Cash from Investing Activity,-245,-488,-628,-872,-13,26
Cash from Financing Activity,-428,0,146,-23,-258,-697
Net Cash Flow,3,21,80,-104,32,12
