,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2022-09-01
Equity Capital,38,38,39,40,40,40,40.0
Reserves,1345,1492,1788,1597,661,-1922,-2067.0
Preference Capital,0,0,0,0,0,0,
Borrowings,682,783,904,2757,2954,2169,1610.0
Other Liabilities,1543,1485,2330,2904,2571,4175,4186.0
Total Liabilities,3608,3798,5061,7298,6227,4463,3769.0
Fixed Assets,740,924,1274,2675,2330,668,422.0
CWIP,190,290,158,178,61,59,59.0
Investments,216,217,349,345,323,32,32.0
Other Assets,2462,2366,3280,4099,3513,3705,3256.0
Total Assets,3608,3798,5061,7298,6227,4463,3769.0
