,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,55.92,55.87,55.86,51.88,48.04,48.02,48.0
FIIs,6.42,13.24,23.39,29.08,26.88,22.85,22.37
DIIs,9.16,7.95,13.18,11.96,13.73,17.23,18.41
Government,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Public,28.5,22.94,7.57,7.08,11.34,11.79,11.11
No. of Shareholders,283706.0,230419.0,241934.0,258816.0,287701.0,287023.0,264710.0
