,2008-03-01,2009-03-01,2010-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,22,22,22,22,22,22,24,34,34,34,34,35
Reserves,249,155,-256,252,247,240,250,245,235,224,213,213
Borrowings,531,751,766,57,71,84,69,326,396,398,424,445
Other Liabilities,161,152,246,11,28,39,62,115,148,136,124,206
Total Liabilities,963,1080,778,343,368,385,405,721,813,792,794,898
Fixed Assets,209,271,222,7,9,14,18,339,395,394,408,421
CWIP,21,6,0,0,1,0,1,4,5,0,0,6
Investments,0,0,0,33,32,31,30,0,0,0,0,0
Other Assets,734,803,557,303,326,340,355,378,414,398,386,471
Total Assets,963,1080,778,343,368,385,405,721,813,792,794,898
