,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,68.0,74.0,39.0,98.0,111.0,136.0,57.0,64.0,95.0
Expenses,67.0,74.0,36.0,81.0,100.0,127.0,60.0,56.0,91.0
Operating Profit,1.0,-0.0,3.0,16.0,11.0,9.0,-3.0,8.0,4.0
OPM %,1.0,-0.0,7.0,17.0,10.0,7.0,-6.0,12.0,4.0
Other Income,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0
Interest,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0
Depreciation,7.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0
Profit before tax,-7.0,-9.0,-4.0,9.0,6.0,6.0,-8.0,3.0,0.0
Tax %,5.0,4.0,6.0,-19.0,-3.0,38.0,2.0,18.0,-29.0
Net Profit,-6.0,-8.0,-4.0,11.0,6.0,4.0,-8.0,2.0,1.0
EPS in Rs,-2.48,-3.38,-1.52,4.3,2.35,1.4,-3.01,1.0,0.22
