,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.01,3.59,18.57,34.47
Expenses,0.02,0.16,3.02,13.51,24.79
Operating Profit,-0.02,-0.15,0.57,5.06,9.68
OPM %,,-1500.0,15.88,27.25,28.08
Other Income,0.00,0.0,0.0,0.57,1.64
Interest,0.00,0.0,0.0,0.08,0.02
Depreciation,0.00,0.0,0.02,0.91,2.15
Profit before tax,-0.02,-0.15,0.55,4.64,9.15
Tax %,0.00,0.0,27.27,26.08,
Net Profit,-0.02,-0.15,0.41,3.43,7.01
EPS in Rs,-20.00,-89.82,35.16,1.43,2.92
