,2022-09-01,2023-03-01,2023-09-01
Sales,1.9,13.58,20.89
Expenses,1.6,9.59,15.2
Operating Profit,0.3,3.99,5.69
OPM %,15.79,29.38,27.24
Other Income,0.0,0.57,1.07
Interest,0.0,0.02,0.0
Depreciation,0.12,0.73,1.42
Profit before tax,0.18,3.81,5.34
Tax %,27.78,20.21,25.66
Net Profit,0.13,3.05,3.96
EPS in Rs,0.07,1.27,1.65
