,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,67.1,104.37,108.06,134.06,493.13,113.72,21.97,20.33,17.77,22.73
Expenses,68.25,97.69,103.68,126.94,517.4,113.96,20.26,18.17,16.46,21.43
Operating Profit,-1.15,6.68,4.38,7.12,-24.27,-0.24,1.71,2.16,1.31,1.30
OPM %,-1.71,6.4,4.05,5.31,-4.92,-0.21,7.78,10.62,7.37,5.72
Other Income,0.86,0.72,1.89,0.87,4.4,1.11,0.52,0.41,0.4,0.10
Interest,0.13,0.03,0.0,0.11,0.06,0.01,0.01,0.0,0.38,0.00
Depreciation,24.22,13.31,12.61,10.24,7.12,6.03,5.1,4.58,3.69,3.29
Profit before tax,-24.64,-5.94,-6.34,-2.36,-27.05,-5.17,-2.88,-2.01,-2.36,-1.89
Tax %,0.0,26.94,23.66,-36.02,31.05,-21.08,21.18,24.38,21.19,
Net Profit,-24.65,-4.33,-4.84,-3.21,-18.65,-6.27,-2.26,-1.53,-1.86,-1.29
EPS in Rs,-41.02,-7.2,-8.05,-5.34,-31.03,-10.43,-3.76,-2.55,-3.09,-2.14
