,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01
Reserves,-317.74,-322.05,-314.75,-318.09,-336.75,-343.19,-345.67,-347.15,-348.9,-350.34
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,670.62,637.62,637.37,2167.75,2285.96,2240.48,2241.25,2240.47,2240.38,2239.07
Total Liabilities,358.89,321.58,328.63,1855.67,1955.22,1903.3,1901.59,1899.33,1897.49,1894.74
Fixed Assets,161.66,179.08,168.29,224.71,220.5,215.88,210.78,206.62,202.99,201.44
CWIP,1.29,0.29,2.25,5.42,5.34,4.26,5.12,6.28,6.72,6.79
Investments,0.12,0.19,0.19,0.2,0.09,0.1,0.13,0.15,0.14,0.15
Other Assets,195.82,142.02,157.9,1625.34,1729.29,1683.06,1685.56,1686.28,1687.64,1686.36
Total Assets,358.89,321.58,328.63,1855.67,1955.22,1903.3,1901.59,1899.33,1897.49,1894.74
