,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4
DIIs,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Public,63.54,63.54,63.54,63.54,63.54,63.54,63.54,63.54
No. of Shareholders,5506.0,5478.0,5497.0,5513.0,5523.0,5522.0,5445.0,5844.0
