,2007-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.17,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
Reserves,-14.46,-1.67,-1.13,-0.95,-0.76,7.14,7.15,7.2,7.83,8.11,7.52,4.84
Borrowings,12.4,0.0,0.0,0.52,1.21,0.65,0.74,0.16,1.76,5.24,8.37,4.69
Other Liabilities,0.79,0.2,0.43,0.19,0.25,2.25,2.54,4.06,2.37,5.67,2.68,2.73
Total Liabilities,1.9,3.83,4.6,5.06,6.0,15.34,15.73,16.72,17.26,24.32,23.87,17.56
Fixed Assets,1.32,0.65,0.62,0.5700000000000001,0.86,10.47,10.43,10.42,10.56,10.65,10.54,10.48
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.58,3.18,3.98,4.49,5.14,4.87,5.3,6.3,6.7,13.67,13.33,7.08
Total Assets,1.9,3.83,4.6,5.06,6.0,15.34,15.73,16.72,17.26,24.32,23.87,17.56
