,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,6.79,30.22,17.97,16.09,20.8,41.84,27.61,30.77,88.24,92.03,84.70
Expenses,0.0,6.15,27.56,16.3,14.2,17.66,34.78,25.26,28.09,77.65,77.44,73.67
Operating Profit,0.0,0.64,2.66,1.67,1.89,3.14,7.06,2.35,2.68,10.59,14.59,11.03
OPM %,,9.43,8.8,9.29,11.75,15.1,16.87,8.51,8.71,12.0,15.85,13.02
Other Income,0.0,0.24,0.14,0.3,0.19,0.13,0.25,0.36,0.2,1.07,1.81,0.93
Interest,0.0,0.46,0.84,0.71,0.47,0.26,0.43,0.52,0.37,0.88,1.07,1.11
Depreciation,0.0,0.42,1.01,1.01,0.9,0.88,1.02,1.82,1.96,2.43,2.71,2.99
Profit before tax,0.0,0.00,0.95,0.25,0.71,2.13,5.86,0.37,0.55,8.35,12.62,7.86
Tax %,,,26.32,32.0,29.58,27.7,28.5,27.03,27.27,25.51,25.36,
Net Profit,0.0,-0.01,0.7,0.17,0.49,1.55,4.19,0.28,0.39,6.22,9.43,5.83
EPS in Rs,,-0.01,0.62,0.15,0.44,0.19,0.51,0.03,0.04,0.63,0.96,0.60
