,2022-03-01,2023-03-01
Debtor Days,55.68,112.38
Inventory Days,413.69,404.92
Days Payable,364.05,299.82
Cash Conversion Cycle,105.32,217.48
Working Capital Days,25.95,110.97
ROCE %,,42.92
