,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.24,0.58,13.39
Reserves,6.06,23.86,15.21
Borrowings,13.27,26.91,38.53
Other Liabilities,16.52,32.12,33.49
Total Liabilities,36.09,83.47,100.62
Fixed Assets,4.06,10.87,4.17
CWIP,0.0,0.0,0.0
Investments,0.0,0.0,6.4
Other Assets,32.03,72.6,90.05
Total Assets,36.09,83.47,100.62
