,2023-09-01
Depreciation,0.6
EPS in Rs,3.12
Expenses,23.05
Interest,1.92
Net Profit,4.18
OPM %,26.26
Operating Profit,8.21
Other Income,-0.06
Profit before tax,5.63
Sales,31.26
Tax %,25.75
