,2022-03-01,2023-03-01
Sales,27.99,59.47
Expenses,23.82,43.68
Operating Profit,4.17,15.79
OPM %,14.9,26.55
Other Income,0.08,0.03
Interest,1.46,2.58
Depreciation,0.61,0.7
Profit before tax,2.18,12.54
Tax %,27.06,27.43
Net Profit,1.59,9.09
EPS in Rs,668.07,156.08
