,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,55.0,55.0,55.0,55.0,55.0,30.02,34.87,34.87
FIIs,0.0,0.07,0.0,0.0,0.0,0.42,0.22,0.03
DIIs,5.04,4.4,3.38,0.69,0.23,0.23,0.18,0.18
Government,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Public,39.93,40.5,41.59,44.28,44.74,69.3,64.69,64.88
No. of Shareholders,70322.0,61005.0,60898.0,61568.0,60907.0,64046.0,55550.0,57973.0
