,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,19,25
Reserves,2,7,6,9,7,51
Borrowings,2,3,6,13,8,2
Other Liabilities,18,16,12,14,20,8
Total Liabilities,22,26,25,36,54,86
Fixed Assets,5,5,5,6,9,11
CWIP,0,0,1,7,12,9
Investments,0,0,0,3,12,21
Other Assets,18,21,18,20,22,45
Total Assets,22,26,25,36,54,86
