,2022-09-01,2023-09-01
Sales,28.77,31.01
Expenses,25.59,26.71
Operating Profit,3.18,4.3
OPM %,11.05,13.87
Other Income,0.67,0.16
Interest,0.52,0.78
Depreciation,0.20,0.16
Profit before tax,3.13,3.52
Tax %,29.39,24.43
Net Profit,2.21,2.65
EPS in Rs,,0.65
