,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-1.6,-2.65,-6.19
Cash from Investing Activity,-1.38,0.26,-1.78
Cash from Financing Activity,5.64,8.46,4.6
Net Cash Flow,2.66,6.07,-3.38
